reviewId,userName,content,score
eeb31930-2431-428a-9f4e-baf93928cf94,Dzaki Abdullah Fawwaaz,"GAME NYA BAGUS BANGET, MULAI DARI STORY, EVENT, QUEST, DLL 🥰",5
cf26cb0f-e84c-4c0d-93a6-613f1fe34cec,Ajeng Rasti,Scaramouche.,5
d36cfcac-6ac9-40ff-ab44-f59b345e35fa,Yanti Baru,Yah pokoknya bagus deh Grafik bagus . Karakter bagus . Map bagus dan banyak lagi sih yg bagus Sy kasih bintang 5 yaa,5
b42f0cbb-da51-403d-b23a-10b571ff007e,Muh.fauzan Fausan,Grafik nya mantap pol tapi aku masih download gak tau hp gw lancar apa tidak,5
f2a1e9dd-e3d2-4b4b-ae0c-1d167f19a047,Rina Rahmawati,Game bagus,5
9e6f2663-2ebd-4022-8c5a-fa94b8a64fc8,Fariz Mufarizi,dua tiga kebun raya selamat hari raya,5
594b84f6-f89d-4fe7-b52b-afd7a89f1a42,Maulana Fachmi,Apakah game ini bisa menjadi anime jika bisa aku tidak sabar menunggu nya 😅☝️,5
0fa35b58-7311-4243-a951-726800234123,Nanda Julyan Herdiana,Lanjut sampe ke anime nya release,5
9441ae96-023f-40e5-866e-0be181ac323f,yoyok gopeng,Bangkee ram 3 apa gabisa ya,1
22cded11-4cbf-4554-8426-bd6928d9d0b2,LEONARD richi,Cuma mau kasih saran mending buat penukaran artefak hanya 2 saja jangan 3,5
c84798ef-7033-4e82-a0a3-66991ec81d20,Putra Seiran,Game nya si bagus tapi kasih saya 10 pull dapet Raiden C6 + keqing c2 udh ku kasih B5 ini,5
17f0a4f0-30ce-4579-9d28-0640319cb50d,NISA_GAMING,Perfects,5
75b844e0-7b6c-43a5-b101-aed59e382b2d,Kaguya Kyo7,the teapot is very spacious but why is the furniture limited I am very disappointed because I can't make my dream house there,1
40c20541-eaba-433e-afbb-0d9254fb0e2d,h A P I ss,Game yang sangat menguji kesabaran dan akal sehat,5
0202f973-a1e5-488e-b78c-b606ac092c0d,C h i k a,Semenjak sistem 2 banner sekaligus kehokian saya kok berkurang ya :(,5
200cdc11-fd3b-4aa4-a880-6befa70e6e26,Nawal pahad,Nice game,5
442c946b-2675-4f40-98a3-9bcb3c58756f,Veloxa,"Bagus kok kalian download aja,yang download semoga dapet skin bagus(doain aku juga dong biar dapet skin bagus🗿)",5
bbeb6050-aea1-4642-8bdb-0344e4b987ee,Dalah ram,Game nya bagus,5
9cdf9d98-ffd2-48b7-91f2-cb90a7355375,SANJAYA Pras,Tolong berikan keringanan untuk hp dengan ram 4gb Rom 64gb,4
d1c11a9b-fdb5-494c-a71d-6bef0d23ed19,ocean blue,Bagus,5
5e6b1475-b116-4188-9a0f-98927fe5759a,Muhammad Al Fathir,gim gacha gajelas,1
2b4eb03a-353e-4119-90d9-16e1085aba28,Bilqis haura khansa,"game nya baguss, story nya jg seru bgtt, char nya cakep"" lagi, best bgt dehh♡♡. dan buat kalian yg bilang sering lag, atau patah"", jgn salahin game nya.. itu hp kalian aja yg kek gitu, bkn karna game nya. download ini game jg butuh 22gb lebih.",5
e9801c52-b561-4e73-a0c6-19d35b9f2342,Right Brain Player,Kumohon berikan hamba keberuntungan untuk Pull.,5
4f9c8555-bcbb-4ef4-ab46-325312e70c55,Faiqq Alienzz,Game Yang Sangat Baguss Dan C6 Semua Aowkaowk,5
4780c2bf-28db-4528-bc90-8a13bbddd865,Naura,"Hoyoverse,, Mau Nahidaaaaaaa (archon dendro)",5
f51bbb60-2cb9-45fb-b353-1e2e9b19a6d3,Mizuhara,"I spent 3 million just for qiqi😌, even though I wanted nahida😄",2
05553ea0-cb95-4e11-91f8-6e28ec7a47b2,GK TAU,Please lower the storage capacity of this game :) WHY CAN'T UPDATES!?!,5
2159c160-2013-415b-92fe-5aabb2751e23,Krisna Daryl Andika,Pls arrataki itto,5
68a8b3aa-55f2-47f7-b383-4032abc792d5,Riva Myunus,Lawack?,5
4544a21e-46b3-481e-a6e4-dc9eede91abd,Kayla Nadine (Ai),"5 star best game I've ever played, wanna play tears of themis but I have a potato phone",5
4584ca59-7c0f-41c2-a180-51febef93662,Prima dwi Ardiansyah,Dari semua segi game dh bagus dan bikin updatenya ga bosen. Tapi buat gw eventnya tu min kasih lebih banyak primogemnya jan 60-80 mnding 80-100 primo dh mantep,5
f1c38351-016e-469f-8144-8ce8ef2a4c0a,Syafiq Gaming,Kenapa akun saya tidak bisa login,5
2b43f273-a3b2-41da-b1a2-3a339e2ef83a,MUBIPUS Official,Plis kasih saya character b5,5
edcf743d-c07f-46b0-a283-8affe60b07a1,Febri Sandria,Push push push,5
ad0d9162-2ea6-4ba9-ad88-b6970b574f9a,afriyan ahbab,"Game yang sangat baguS, karena bisa dimainkan dari hp yg sebelumnya hanya ada di ps5 dan pc Untuk newbie yang ingin mainkan ini diharapkan mempunyai spesifikasi hp min 128 GB memori, 6 GB ram Semoga game genshin impact dikedepan hari sizenya bisa diperkecil jade bisa dimainkan dengan hp yg size memori dan ram nya rendah",5
b711f2f6-f32a-4ac5-98ca-8287511a1fbd,7C_Muhammad Fatahillah,Keren👍😁,5
fe1b8d22-e0e7-4b51-ac32-35ed139531bf,Naura cupcake,Ayuyu genshin 😘☝🏻,5
50408596-4036-42cd-977c-aa34581a9e49,satrio,banyakin bonus,5
57aa98a4-ec9c-488f-bc9f-2768316bae07,cahaya khaira kuswadi,"Sejak update 2.4 jadi banyak bugnya, hp musuh yg ga ngurang ngurang, material musuh yg drop nya lama, apalagi buka chest tapi material dropnya loding ga keambil ambil, tolong baikin",5
6f1f6c30-70ec-4598-ae8e-1d430918f139,Petra pitik,Game nya seru soalnya bisa explore sesuka hati para hp kentang menangis ingin memainkan game ini,5
9add27a4-a8c7-421d-83d5-fb9528a5d55a,Andi istilfa Hanifa,Mada lyrics?,5
63688db9-d588-449d-ac2b-a750d4329019,Bby eceng,"Update terbaru aplikasinya tidak dapat di instal, ada apa lagi ini mohon di perbaiki",1
b47c28a8-e965-4b11-b6ae-f8896e7fbdaf,Reyhan Atharik,Game yg epik nan membahana. Sekedar Saran Bisa nga saya membuat outfit sendiri dengan bahan material dan lain lain dan buatnya di teh poci atau nga blacksmith contoh outfit nya outfit harian penduduk Setiap bangsa di Teyvat seperti oufit knight,4
ef00b608-b237-424f-947e-9195bba04887,rahmad setya budi,Give me nahida please paimon,5
6023ef3f-0853-41f9-98a3-3ed3fa57b9ab,makan geming,Game open world terbaik sumpah untuk saat ini tapi mungkin agak ngebosenin bagi player lama karna spiral abbys cuma lantai 12 aja mana musuhnya gampang semua gampang banget di one hit hu tou ku ehe(c6) mending tambahin fitur lain aja selain spiral abbys atau tambahin lantai spiral abbys sampe 100 wkwkwk lantai 100 isinya 10 adrius😅,5
7929b7cf-db92-432b-8bb7-1f3b67722e6e,Try Artha,Gacha ampas. Uninstall aplikasi,1
4b801f7a-a24c-4b95-b16d-5d1a184583c5,AGISKTIA HADI,Mantap,5
1e34b6b8-a9e5-44c0-9d13-782f7bae1ae9,Alyaフロイド,Wkwk dh lumayan lama maen cmn jarang aj login soalny update ny bikin memori gw penuh🗿,5
edb78666-f844-419a-9836-537f25e20eac,Kayla Kayla,bagus,5
be9dc56c-174d-4bdf-af19-14434df41319,Ken Ch,Game bagus,5
9b681fcd-1b7d-4b93-9707-2a36e9ad76b3,fajar senpai,Sangat puas,5
62ac9b04-528c-4c56-8d04-c7515333af5d,SYAKIF _`,Gilaaa kren bnget,5
08483542-f965-4a6b-bbf4-efece7b19246,muhammad akmal,"Calysta pacar pertamaku dari genshin Lu ke mana ,Gua kangenn knapa lu ngilang T_T",5
c55347e5-6312-4ffc-a8be-7fd16398dc88,Matthea Tabitha,Game ini seru sekali untuk di mainkan ada banyak petualangan. Saya menyukainya karena mirip sekali dengan isekai😍😍👍👍,5
c3582b56-908f-4129-bce9-cb4502c0ca11,Zhongli Kunz,Game ter de best seduniaa....,5
15740685-7957-47ec-bb61-db9cbf72dd2f,RAKHA Bayu putra,Game nya jangan di hapus,1
142c10cd-6c47-40d1-a5a0-8071dfe0e339,Oktaviano Ramadani,Karakter ciamik grafik bagus map luas beuhh mantep dah cuma minus aja di penyimpanan nya yang hampir bengkak 22GB++,4
de250c6a-b824-41f8-b099-62fe12e55e56,Berliana Naqoura,"Ini game bagus banget,tapi player f2p malah hujat aniv nya?",5
e348165f-24ee-4422-8764-bed837e23dda,pendi ali,Pusing pusing gimana gitu...,5
80558bdc-280e-40ae-ae3e-162b05a71025,Fresh Meme From The Sun,"Gamenya bagus banget soal segi grafik,environment (shader),dunia,karakternya,storynya juga... Yang harus rada di maksimal untuk itu yah... Performanya karena selain data besar Performanya rada lag sih...",4
14f04e7f-cdb6-4be9-9d6d-c7d6c3fdf50f,Nikii,Berikan aku scara c6😭😭😭😭😭😭,5
6824eee3-00da-4ac7-bc87-fdc274c234f5,Puspita Deri Syahfitri,pak hoyo cwo ku cheater ban saja akun nya 👎,1
7c45b162-af7f-4abd-ab2e-23190a0bea7b,Ni Kadek Andini Dwi Putri 8b,Kasih aku nahida klo biarpun pity ku merah:(,5
c1300871-a92e-4e0e-b3e8-bdf3b7d80c97,Vincentius Narendra Shepa Pavelino,Gas rating naik,5
0a28bc81-0325-4c20-a0eb-83053f2094be,Lutfy Adhitya,Game bagus,5
95c1c853-5fc4-4dcd-98a9-f1941ba9217d,Ifrakhul Wahid,Susah kalau banyak update,4
32be5b08-625b-44c3-bef8-6f57a8ef6eef,Bungah Sakura,Mihoyo kasih raiden dong,5
b3fda0c3-ce34-4cec-9edb-47a739f83336,Salsabila 123,"grafik nya bagus, asik, I like it",5
06429efa-ee3b-4c61-84ce-1639e1b50502,Shimu,Gamenya bagus!!!,5
9ef0c010-5606-47d5-86a1-916f9eeac4d2,Ahmad Ihsan,Saya menyarankan Hu tao return 3.4,5
6cd0ed45-ecf0-4039-a37c-a8a616fbaffa,Farhan 23,Seru parah sihh good job hoyoverse,5
5d21a49f-9518-471e-a08b-1d0abba59f51,cain shin wolford,Bagus,5
f9f8c2d0-f440-4097-a3ea-c97747615ec8,Whaaats Ipul,Kenapa semenjak update 1.4 gamenya mengalami lag parah dan proses gamenya error terus di android. Mohon pihak mihoyo untuk memperbaiki error tersebut. Terimakasih,5
5345c72d-aed7-4412-b8e3-20fca28c8567,Muhammad Rukinan Syuluri,Best game ever until now!,5
6aab8272-78e4-4d33-820e-3054a3b413ba,InekoYt,Hhahahs,5
f4d64a1d-c8e6-46bf-89c9-c9fcea1b83a9,eunike dyah kristanti,Fix bugs pls,5
ef950d99-7976-4b05-a1ea-4b80a4fb686c,Agung Setia Budi,Aaaaaaa kenapa raiden kamu wangy banget aaaaaa hu tao juga kamu ikut banget aaaaaaaa,5
